node_id,x,y,curvature,abs_curvature,position,sinuosity_local
228,56942.084288640915,3328989.6051050615,-9.425286431395364e-05,9.425286431395364e-05,0.22746072373638046,1.0023307172923213
229,57024.75036271398,3328776.939030988,-7.909530085246169e-05,7.909530085246169e-05,0.2284474887267161,1.0021236212919657
230,57097.9095166254,3328560.335061648,-4.844195266227827e-05,4.844195266227827e-05,0.229436232468621,1.0020638114481384
231,57167.9095166254,3328342.4225279116,-2.3704755216647217e-05,2.3704755216647217e-05,0.23042607587241873,1.0016634357074614
232,57257.9095166254,3328132.794265423,-2.1811467539523374e-05,2.1811467539523374e-05,0.2314126841899132,1.0012067848265447
233,57337.9095166254,3327919.0238673105,-4.53048396562404e-05,4.53048396562404e-05,0.2323998020842615,1.0030202469310425
234,57416.86752964371,3327704.8218640587,-8.37017345207388e-05,8.37017345207388e-05,0.2333871007478662,1.0029586098915537
235,57506.604671528636,3327495.0847221734,-0.00012075823439829851,0.00012075823439829851,0.23437369404058922,1.004054793045945
236,57567.9095166254,3327273.5705373497,-0.00014339253814954245,0.00014339253814954245,0.23536769460168633,1.0061167531178865
237,57637.9095166254,3327055.6580036134,-0.0001485543510560855,0.0001485543510560855,0.23635753800548406,1.0059290425400462
238,57667.9095166254,3326821.1769273826,-0.00014162994430607672,0.00014162994430607672,0.23737987233724114,1.0062392676915248
239,57731.20295064293,3326600.4864430595,-0.0001274417901212233,0.0001274417901212233,0.23837277653682806,1.0058637747488677
240,57767.9095166254,3326368.783317415,-0.00010580375131740261,0.00010580375131740261,0.23938732734295243,1.0033822623525714
241,57787.9095166254,3326130.1601055604,-7.69555827939708e-05,7.69555827939708e-05,0.24042292766166495,1.0029464934677212
242,57817.9095166254,3325895.679029329,-4.740180749525522e-05,4.740180749525522e-05,0.24144526199342403,1.0016446760999596
243,57837.9095166254,3325657.0558174746,-2.739781774601133e-05,2.739781774601133e-05,0.24248086231213656,1.0019814696696243
244,57857.9095166254,3325418.4326056195,-2.2788208447337823e-05,2.2788208447337823e-05,0.2435164626308511,1.0006082695643985
245,57894.8592079237,3325186.8301857784,-2.949330208357949e-05,2.949330208357949e-05,0.24453074839941846,1.000549208780985
246,57917.9095166254,3324949.4704531576,-3.71817290017147e-05,3.71817290017147e-05,0.24556209509277033,1.000616183248164
247,57937.9095166254,3324710.8472413025,-4.037315854961284e-05,4.037315854961284e-05,0.24659769541148485,1.000899694497083
248,57947.9095166254,3324468.081893824,-4.566601227822975e-05,4.566601227822975e-05,0.24764848131539283,1.0011874605247664
249,57967.9095166254,3324229.4586819694,-6.656247631669147e-05,6.656247631669147e-05,0.24868408163410535,1.0060134177073763
